event_label,users,total_events,unique_events
1966 to 2015,2,2,2
joseph mcconell,2,2,2
McCall,2,3,2
1977,2,8,6
arctic-gro,2,2,2
disko,2,2,2
Erich Osterberg,2,2,2
oeschel,2,3,2
biodiversity,2,2,2
Evans,2,2,2
1990 to 1990,2,2,2
nunavut,2,3,3
1976 to 1976,2,2,2
geng,2,2,2
IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE,2,2,2
oasis,2,3,3
Davis Strait,2,2,2
fettweis,2,2,2
Brady,2,2,2
melt,2,2,2
concentration,2,2,2
Beaufort Gyre,2,3,2
Alix Johnson,2,2,2
2008 to 2011,2,2,2
Collins,2,3,3
1968 to 1968,2,3,3
1991 to 1992,2,2,2
Karl Kreutz,2,2,2
plastic,2,3,2
bering sea,2,2,2
Sea ice,2,2,2
Cortes,2,4,4
Woodgate,2,2,2
1990 to 2017,2,2,2
carin,2,2,2
surface temperature,2,2,2
doi:10.18739/A20V5P,2,2,2
nagap,2,3,3
481.114,2,3,2
.xls,2,2,2
2004 to 2005,2,3,2
alpine,2,2,2
doi:10.5065/D6MS3QVG,2,5,3
kongsfjord,2,2,2
2017 to 2016,2,2,2
1981 to 1981,2,2,2
population,2,2,2
1993 to 2017,2,3,3
1967,2,3,3
fCO2,2,2,2
2007 to 2017,2,2,2
taimyr,2,3,3
estuary,2,2,2
date,2,3,2
1990,2,5,4
doi:10.5065/D6FT8J54,2,3,3
primary production,2,2,2
beilman,2,3,3
diatom,2,2,2
precipitation,2,3,3
Ship,2,2,2
O-buoy,2,2,2
Gordon Hamilton,2,3,2
1971,2,3,2
imb,2,2,2
1971 to 2015,2,2,2
spencer,2,3,3
1984,2,4,3
1971 to 1971,2,3,3
plant,2,2,2
swl 15,2,3,2
lake,2,7,4
Towards an Arctic Observ,2,2,2
beluga,2,2,2
NCEI,2,2,2
erosion,2,2,2
sea ice concentration,2,2,2
Jacqueline Grebmeier,2,2,2
Ermold,2,2,2
Hamilton,2,2,2
GIS,2,2,2
doi:10.5065/D6WH2N6G,2,4,4
Robert G. Campbell,2,3,3
Ziolkowski,2,2,2
1990 to 2015,2,2,2
Montgomery,2,5,3
testing,2,2,2
air,2,2,2
1997 to 1997,2,5,3
1203271,2,3,3
2001 to 2014,2,3,2
Walden,2,4,3
lemming,2,4,3
cory,2,2,2
chapin,2,2,2
wooller,2,5,4
collins,2,2,2
(ITP),2,6,4
doi:10.18739/A2FW52,2,5,3
1970 to 1971,2,2,2
hajo,2,2,2
Mirai,2,4,4
2000 to 2005,2,2,2
1974,2,12,6
hydrology,2,2,2
iceberg,2,2,2
urn:uuid:08a91469-e207-4805-86da-e698edddfba9,2,4,4
liu,2,4,4
cetacean,2,2,2
raey,2,2,2
infauna,2,7,6
1967 to 2015,2,4,3
1988 to 2015,2,2,2
Hollister,2,2,2
mecum,2,2,2
collaborative,2,2,2
1981 to 2015,2,2,2
acoustic,2,2,2
urn:uuid:ffd4fb38-deb3-4d62-9e9e-ae84bc69abbb,2,2,2
water temperature,2,2,2
columbia,2,2,2
2010 to 2013,2,3,2
polyak,2,4,3
campbell,2,4,2
radiosonde,2,5,4
13.113,2,3,2
2004 to 2004,2,2,2
1022472,2,3,2
Alaska Pipeline,2,2,2
1204059,2,2,2
BNZ,2,2,2
doi:10.18739/A2D08X,2,3,2
Miller,2,2,2
2006 to 2014,2,2,2
swl,2,4,2
1800 to 2014,2,2,2
dissolved organic,2,2,2
frazier,2,2,2
1204145,2,2,2
Pelto,2,2,2
Buchwal,2,3,2
urn:uuid:22cf9a09-ffe8-4239-b83a-af1591cf0eb4,2,4,4
William Simpson,2,4,3
kling,2,3,3
Toolik,2,2,2
food,2,5,4
NEE,2,2,2
Craig E. Tweedie,2,2,2
csv,2,3,3
togiak,2,3,3
255.086,2,2,2
walter,2,2,2
insects,2,2,2
Shaver,2,2,2
urn:uuid:babb0174-c29e- 4010-85c0-9f07af2744e7,2,3,3
1993 roll 2,2,5,2
collaborative research,2,2,2
bowhead,2,5,2
thorp,2,2,2
productivity,2,2,2
emily weiser,2,2,2
respiration,2,2,2
lakes,2,2,2
ice thickness,2,3,2
Grosse,2,2,2
Proshutinsky,2,3,3
ellen druffel,2,5,3
doi:10.5065/D689140J,2,3,3
EARTH SCIENCE > LAND SURFACE > SOILS > SOIL MOISTURE/WATER CONTENT,2,3,2
Soil temperature at different depths,2,2,2
topography,2,2,2
1794 to 2017,2,2,2
1969 to 1969,2,3,3
2008 to 2012,2,2,2
dijken,2,4,2
2014,2,3,3
microzooplankton,2,2,2
481.112,2,2,2
freshwater,2,2,2
mammoth,2,3,2
1204082,2,2,2
doi:10.5065/D600006M,2,3,3
1995 to 2016,2,2,2
Bioavailability of Arctic Soil Carbon: Examining the Relationship Between Chemical Composition and Lability During the Holocene,2,2,2
Jihong Cole-Dai,2,2,2
DBO3,2,7,4
nweeia,2,2,2
2011 to 2012,2,2,2
phytoplankton,2,2,2
Schauer,2,2,2
abundance,2,3,2
2011 to 2013,2,2,2
doi:10.18739/A2WD3H.,2,2,2
doi:10.18739/A2PW57,2,5,4
Svein Vagle,2,3,2
urn:uuid:6ed8a311-6aaf-4944-90c7-104337ee77e3.,2,2,2
Erik Hobbie,2,4,3
Lindsay Carlson,2,2,2
481.106,2,3,2
Alicia Cortes,2,4,3
1793 to 2017,2,2,2
Toolik Lake snowpack gases,2,3,3
hannah,2,2,2
stream,2,2,2
doi:10.5065/D6CJ8BNJ,2,3,3
cielometer,2,2,2
whale,2,2,2
dissolved organic carbon,2,2,2
gulkana,2,2,2
